RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
Los Angeles County,CA,Los Angeles-Long Beach-Anaheim,6,37,1,,2300,2350,2395,2450,2500,2600,2750,2600,2500,2495,2500,2500,2500,2400,2495,2500,2500,2500,2450,2400,2350,2250,2200,2200,2250,2200,2195,2200,2250,2150,2050,2150,2000,2000,1950,2000,2045,2000,2000,2100,2095,1995,1900,2100,2250,2150,2300,2280,2250,2250,2250,2360,2450,2500,2500,2500,2500,2500,2595,2600,2550,2600,2700,2750,2800,2800,2800,2800,2800,2800,2800,2800,2850,2900,2895,2800,2850,2850,2783,2900,2750,2950,2750,2850,2900,3000,3095,3100,3120,3095,3042,3000,3000,3000,3000,3000,3000,3000,3095,3135,3200,3150,3150,3100,3100,3195,3160,3100
Cook County,IL,Chicago-Naperville-Elgin,17,31,2,,1600,1517.5,1500,1500,1500,1550,1575,1600,1600,1650,1690,1600,1595,1550,1600,1600,1600,1640,1625,1625,1600,1573,1550,1575,1595,1600,1550,1550,1600,1599,1600,1544,1545,1500,1541,1535,1525,1550,1536,1571.5,1579,1600,1600,1619,1629,1606.5,1650,1620,1600,1600,1600,1685,1700,1700,1700,1700,1700,1696.5,1695,1675,1675,1699,1698,1700,1700,1700,1700,1700,1665,1675,1650,1650,1695,1700,1700,1695,1695,1695,1695,1650,1655,1650,1650,1650,1650,1675,1700,1750,1750,1775,1750,1750,1700,1700,1695,1695,1700,1702,1725,1750,1800,1800,1800,1750,1745,1700,1700,1700
Harris County,TX,Houston-The Woodlands-Sugar Land,48,201,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1300,1300,1300,1375,1400,1413.5,1450,1450,1450,1450,1450,1450,1452.5,1459,1499,1525,1550,1550,1550,1525,1500,1500,1500,1525,1525,1550,1550,1550,1500,1500,1500,1500,1495,1450,1475,1406,1495,1499,1500,1500,1525,1525,1525,1500,1530,1500,1500,1500,1500,1500,1525,1550,1595,1600,1600,1595,1550,1550,1550,1550,1550
Maricopa County,AZ,Phoenix-Mesa-Scottsdale,4,13,4,,,1550,1500,1450,1395,1350,1395,1300,1300,1300,1300,1200,1200,1195,1200,1200,1200,1175,1150,1150,1105,1100,1100,1100,1100,1150,1150,1150,1155,1150,1125,1100,1100,1100,1100,1100,1100,1100,1125,1125,1125,1100,1095,1149,1150,1150,1150,1150,1150,1150,1150,1200,1200,1200,1228,1200,1200,1225,1250,1250,1295,1300,1329,1325,1325,1300,1300,1299,1299,1300,1325,1350,1350,1375,1395,1325,1337,1300,1300,1295,1299,1300,1268,1329,1350,1395,1400,1430,1439.5,1425,1400,1400,1400,1400,1400,1400,1450,1450,1495,1500,1500,1500,1500,1495,1495,1499,1500,1500
San Diego County,CA,San Diego-Carlsbad,6,73,5,,,3000,3300,2995,2995,3450,3500,2900,2795,2600,2600,2182.5,2200,2200,2250,2295,2295,2200,2200,2195,2150,2095,2050,2000,2000,2000,1900,1900,1995,1999,1995,2000,1995,1995,1950,1950,1900,1930,1950,1995,2000,1995,1900,2150,2195,2188,2200,2200,2150,2150,2125,2249.5,2250,2250,2295,2300,2300,2300,2300,2300,2350,2300,2300,2295,2300,2300,2300,2300,2317.5,2350,2350,2395,2395,2400,2395,2350,2395,2350,2350,2395,2300,2300,2300,2400,2450,2500,2500,2550,2575,2595,2595,2580,2550,2500,2550,2545,2600,2600,2695,2700,2725,2750,2750,2697,2657.5,2650,2695,2650
Orange County,CA,Los Angeles-Long Beach-Anaheim,6,59,6,,,2462.5,2500,2550,2595,2797.5,2800,2650,2482.5,2500,2500,2475,2400,2500,2500,2550,2600,2595,2600,2550,2500,2450,2495,2450,2500,2450,2400,2500,2500,2500,2500,2495,2495,2400,2400,2400,2450,2450,2500,2500,2500,2550,2400,2595,2600,2600,2650,2650,2650,2600,2600,2700,2745,2700,2750,2750,2750,2750,2750,2750,2750,2795,2795,2800,2800,2850,2892.5,2850,2800,2800,2850,2887.5,2900,2900,2850,2850,2900,2850,2800,2800,2800,2900,2795,2850,2950,3000,3050,3100,3150,3150,3100,3000,3000,3000,3050,3095,3100,3100,3150,3200,3200,3200,3200,3200,3200,3175,3200,3200
Kings County,NY,New York-Newark-Jersey City,36,47,7,,,,,1900,1975,2000,2200,2125,2069,2100,2200,1895,1800,1900,2000,1900,1900,1950,2000,2100,2100,1895,1800,1800,1800,1800,1800,1885,1925,1950,2000,2000,1950,1900,1900,1950,1975,1975,2000,2200,2200,2200,2300,2350,2400,2450,2500,2500,2500,2541.5,2500,2500,2500,2550,2600,2600,2700,2600,2400,2600,2538,2575,2600,2600,2700,2700,2700,2700,2700,2675,2700,2700,2664.5,2650,2600,2600,2600,2600,2600,2750,2800,2700,2500,2500,2500,2500,2500,2500,2550,2600,2600,2600,2526.5,2500,2500,2500,2450,2400,2460,2500,2500,2500,2500,2500,2500,2400,2400,2400
Miami-Dade County,FL,Miami-Fort Lauderdale-West Palm Beach,12,86,8,,,1950,1900,1850,1900,1950,2100,2000,1900,1890,1900,1800,1700,1700,1750,1775,1775,1750,1750,1775,1800,1800,1800,1800,1800,1850,1850,1850,1900,1850,1800,1800,1800,1800,1800,1825,1850,1900,1900,1950,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1995,2000,2000,2100,2000,2050,2050,2000,2000,2000,2100,2200,2200,2250,2275,2300,2300,2200,2200,2250,2300,2300,2300,2300,2210,2200,2200,2185,2100,2100,2100,2200,2000,2100,2100,2150,2200,2200,2190,2172.5,2200,2200,2200,2200,2200,2200,2200,2200,2200,2250,2250,2250,2250,2250,2250,2250,2250,2200
Dallas County,TX,Dallas-Fort Worth-Arlington,48,113,9,,,,,,,,,,,,,,1200,1200,1200,1200,1200,1215,1200,1195,1150,1150,1172.5,1150,1200,1195,1050,1110,1195,1149.5,1100,1150,1150,1195,1175,1129,1150,1195,1170,1195,1250,1250,1200,1250,1250,1250,1290,1250,1250,1250,1250,1300,1300,1325,1325,1300,1300,1300,1325,1345,1350,1375,1395,1395,1399,1400,1425,1395,1395,1395,1395,1400,1425,1460,1450,1460,1450,1450,1450,1450,1450,1495,1450,1495,1500,1550,1595,1600,1650,1625,1600,1600,1590,1580,1595,1590,1575,1595,1625,1625,1650,1650,1600,1600,1595,1595,1599,1600
Queens County,NY,New York-Newark-Jersey City,36,81,10,,1600,1600,1700,1650,1650,1600,1600,1600,1650,1600,1600,1650,1650,1600,1600,1650,1612.5,1600,1600,1650,1600,1600,1600,1600,1600,1650,1650,1650,1600,1595,1600,1650,1700,1700,1700,1700,1695,1700,1700,1750,1800,1895,1925,2000,1950,1980,2000,2000,1950,1950,1950,2000,2000,2000,2050,2095,2085,2100,2100,2100,2100,2100,2100,2150,2200,2200,2200,2250,2200,2200,2200,2200,2200,2200,2200,2175,2200,2200,2200,2223.5,2200,2210,2200,2220,2255,2295,2300,2300,2300,2300,2350,2325,2300,2285,2285,2267.5,2250,2200,2215,2300,2295,2235,2300,2295,2300,2300,2250,2223.5
